id	scientific	en	fi	raw	category	energy	fat	sugar	fiber
11050	ACTINIDIA CHINENSIS	KIWI FRUIT, WITHOUT SKIN	KIIVI, KUORITTU	true	Hedelmät	52.20841300191204	0.834	6.79	2.7
11051	PRUNUS PERSICA, PRUNUS PERSICA VAR. NECTARINA	PEACH/NECTARINE, WITHOUT SKIN AND STONE	PERSIKKA/NEKTARIINI, KUORITTU, KIVETÖN	true	Hedelmät	44.05353728489484	0.215	7.8	2.1
11052	PRUNUS AVIUM L., PRUNUS CERASUS L.	CHERRY WITHOUT STONE	KIRSIKKA, KIVETÖN	true	Hedelmät	56.42686424474187	0.2	11.4	1.5
11053	PRUNUS DOMESTICA	PLUM, WITHOUT STONE	LUUMU, KIVETÖN	true	Hedelmät	46.498565965583175	0.3	8.2	1.7
11054	PRUNUS ARMENIACA	APRICOT, AVERAGE, WITHOUT STONE	APRIKOOSI, KESKIARVO, KIVETÖN	true	Hedelmät	53.269598470363285	0.1	10.6	1.9
11055	CITRULLUS LANATUS	WATERMELON, WITHOUT SKIN	VESIMELONI, KUORITTU	true	Hedelmät	37.217973231357554	0.15	7.1	1.1
11056	ANANAS COMOSUS	PINEAPPLE, WITHOUT SKIN	ANANAS, KUORITTU	true	Hedelmät	55.61663479923518	0.4	11.2	1.4
11057	PERSEA AMERICANA	AVOCADO, WITHOUT SKIN AND STONE	AVOKADO, KUORITTU, KIVETÖN	true	Hedelmät	198.18355640535373	19.4	0.66	6.7
11060	MALUS DOMESTICA	APPLE, DOMESTIC, WITHOUT SKIN	OMENA, KOTIMAINEN, KUORITTU	true	Hedelmät	40.53059273422562	0.1	8.21	1.8
11061	MALUS	APPLE, IMPORTED, WITHOUT SKIN	OMENA, ULKOMAINEN, KUORITTU	true	Hedelmät	44.677342256214146	0.1	9.32	1.8
11062	PYRUS COMMUNIS	PEAR, WITHOUT SKIN	PÄÄRYNÄ, KUORITTU	true	Hedelmät	43.23852772466539	0.0875	8	3.9
11071	MANGIFERA INDICA, CARICA PAPAYA	EXOTIC FRUIT, AVERAGE, MANGO/PAPAYA, WITHOUT SKIN	EKSOOTTINEN HEDELMÄ, KESKIARVO, MANGO/PAPAIJA, KUORITTU	true	Hedelmät	55.61902485659656	0.215	10.7	2.1
11074	MEDICAGO SATIVA	SPROUT, ALFALFA	ITU, SINIMAILASEN ITU	true	Kasvikset	29.30927342256214	0.69	0.3	3
11086	ANACARDIUM OCCIDENTALE	NUT, CASHEW NUT	PÄHKINÄ, CASHEWPÄHKINÄ	true	Palkokasvit ja pähkinät	574.2232313575525	46.35	4.6	3.5
11134	OCIMUM BASILICUM	BASIL, FRESH	BASILIKA, TUORE	true	Kasvikset	25.812619502868067	0.65	0.31	1.6
11203	CUCUMIS MELO	HONEYDEW MELON, WITHOUT SKIN	HUNAJAMELONI, KUORITTU	true	Hedelmät	37.019598470363285	0.14	7.8	0.8
11212	HELIANTHUS ANNUUS	SUNFLOWER SEED	AURINGONKUKANSIEMEN, KUORITTU	false	Palkokasvit ja pähkinät	617.3613766730401	56.1	2.62	6
11521	ORYZA SATIVA	RICE, WHITE, LONG-GRAIN, PARBOILED	RIISI PITKÄJYVÄINEN, PUUROUTUMATON	true	Viljat	366.376673040153	1.03	0	1.7
11589	ARMORACIA	HORSERADISH	PIPARJUURI	true	Kasvikset	89.68451242829828	0.254	5.073	7.5
11680	SOLANUM TUBEROSUM	POTATO, PEELED, VACUUM PACKED, CATERING	PERUNA, KUORITTU, SUURTALOUSTUOTE, SUOJAKAASUPAKATTU	true	Perunat	75.348948374761	0.114	0.6	1
11689	ASPARAGUS OFFICINALIS L.	ASPARAGUS, RAW, CLEANED	PARSA, RAAKA, PUHDISTETTU	true	Kasvikset	32.373326959847034	0.6	1.9	3.5
11734	LENTINULA EDODES	SHIITAKE MUSHROOM	SIITAKESIENI	true	Kasvikset	26.52246653919694	0.31	2.5	3.3
11735	PLEUROTUS OSTREATUS	OYSTER MUSHROOM	OSTERIVINOKAS	true	Kasvikset	26.252390057361378	0.35	2.6	2.4
28905	TRITICUM DURUM DESF.	FLOUR, WHOLE WHEAT FLOUR	JAUHO, TÄYSJYVÄVEHNÄJAUHO	true	Viljat	357.97323135755255	2.47	1.198	12.6
28910	ORYZA SATIVA	RICE, BROWN	RIISI TUMMA	true	Viljat	348.972275334608	2.3	0.4	4
28913	SOLANUM TUBEROSUM	POTATO, UNPEELED, AVARAGE, RAW	PERUNA, PUNNITTU KUORINEEN	true	Perunat	75.348948374761	0.114	0.6	1
28915	CUCUMIS MELO L. VAR. RETUCULATA/CANTALUPENSIS	MUSKMELON/CANTALOUPE MELON, WITH SKIN	MELONI, VERKKO/CANTALOUPEMELONI, PUNNITTU KUORINEEN	true	Hedelmät	11.309751434034416	0.095	2.05	0.45
28916	MALUS	APPLE, AVERAGE, WITH SKIN	OMENA, KESKIARVO, PUNNITTU KUORINEEN	true	Hedelmät	37.06500956022945	0.087	7.626	1.566
28917	PYRUS COMMUNIS	PEAR, WITH SKIN	PÄÄRYNÄ, PUNNITTU KUORINEEN	true	Hedelmät	38.04971319311663	0.077	7.04	3.432
28918	PRUNUS DOMESTICA	PLUM, WITH STONE	LUUMU, TUMMA, PUNNITTU KIVINEEN	true	Hedelmät	42.77963671128107	0.276	7.544	1.564
28920	PRUNUS AVIUM, PRUNUS CERASUS	CHERRY WITH STONE	KIRSIKKA, PUNNITTU KIVINEEN	true	Hedelmät	51.347992351816444	0.182	10.374	1.365
28921	PRUNUS ARMENIACA	APRICOT, AVERAGE, WITH STONE	APRIKOOSI, KESKIARVO, PUNNITTU KIVINEEN	true	Hedelmät	50.07409177820267	0.094	9.964	1.786
28922	PRUNUS PERSICA, PRUNUS PERSICA VAR. NECTARINA	PEACH/NECTARINE, AVERAGE, WITH STONE	PERSIKKA/NEKTARIINI, KESKIARVO, PUNNITTU KIVINEEN	true	Hedelmät	38.324569789674946	0.187	6.786	1.827
28923	ANANAS COMOSUS	PINEAPPLE, WITH SKIN	ANANAS, TUORE, PUNNITTU KUORINEEN	true	Hedelmät	29.476577437858506	0.212	5.936	0.742
28924	CITRUS SINENSIS	ORANGE, AVERAGE, WITH SKIN	APPELSIINI, PUNNITTU KUORINEEN	true	Hedelmät	32.8895793499044	0.101	6.408	1.512
28925	CITRUS LIMON	LEMON, WITH SKIN	SITRUUNA, KESKIARVO, PUNNITTU KUORINEEN	true	Hedelmät	21.395793499043975	0.111	1.43	1.82
28926	CITRUS PARADISI	GRAPEFRUIT, AVERAGE, WITH SKIN	GREIPPI, KESKIARVO, PUNNITTU KUORINEEN	true	Hedelmät	22.860898661567877	0.195	4.225	0.91
28931	CITRULLUS VULGARIS/LANATUS	WATERMELON, WITH SKIN	VESIMELONI, PUNNITTU KUORINEEN	true	Hedelmät	20.470841300191204	0.083	3.905	0.605
28932	VITIS VINIFERA L.	GRAPE, AVERAGE, GREEN OR RED	VIINIRYPÄLE, KESKIARVO, PUNNITTU KIVINEEN, VIHREÄ/TUMMA	true	Hedelmät	69.8661567877629	0.38	14.725	1.045
28933	PERSEA AMERICANA	AVOCADO  WITH SKIN AND STONE	AVOKADO, PUNNITTU KUORINEEN JA KIVINEEN	true	Hedelmät	140.70984703632888	13.774	0.469	4.757
28934	MUSA SAPIENTUM	BANANA, WITH SKIN	BANAANI, PUNNITTU KUORINEEN	true	Hedelmät	58.67590822179732	0.268	9.045	1.206
28935	CITRUS RETICULATA	MANDARIN, AVERAGE, WITH SKIN	MANDARIINI, KESKIARVO, PUNNITTU KUORINEEN	true	Hedelmät	36.3217017208413	0.24	6.56	1.52
28939	ACTINIDIA CHINENSIS	KIWI FRUIT, WITH SKIN	KIIVI, PUNNITTU KUORINEEN	true	Hedelmät	48.03059273422562	0.767	6.247	2.484
28941	MALUS DOMESTICA	APPLE, DOMESTIC, WITH SKIN	OMENA, KOTIMAINEN, KUORINEEN	true	Hedelmät	35.260516252390055	0.087	7.143	1.566
28942	MALUS	APPLE, IMPORTED, WITH SKIN	OMENA, ULKOMAINEN, KUORINEEN	true	Hedelmät	38.86950286806883	0.087	8.108	1.566
28944	CUCUMIS MELO	HONEYDEW MELON WITH SKIN	HUNAJAMELONI, PUNNITTU KUORINEEN	true	Hedelmät	18.508604206500955	0.07	3.9	0.4
